state,district,crop_type,season,land_area_hectares,soil_type,ndvi_current,ndvi_30day_avg,rainfall_mm,avg_temperature_c,past_yield_ton_per_hectare,agri_trust_score
Maharashtra,Pune,Sugarcane,Rabi,3.16,Loamy,0.746,0.618,473.5,17.5,3.3,60.73
Uttar Pradesh,Kanpur,Rice,Rabi,1.32,Alluvial,0.705,0.857,50.7,39.8,4.09,45.48
Maharashtra,Pune,Maize,Rabi,4.72,Red,0.628,0.298,327.5,24.2,3.28,54.6
Maharashtra,Nagpur,Rice,Rabi,7.27,Alluvial,0.802,0.676,478.0,15.3,5.71,72.02
Haryana,Karnal,Wheat,Rabi,3.85,Black,0.369,0.678,629.5,35.8,1.87,55.09
Maharashtra,Nagpur,Rice,Rabi,6.66,Loamy,0.346,0.597,79.7,36.1,3.25,31.07
Maharashtra,Pune,Cotton,Rabi,14.44,Alluvial,0.791,0.723,562.7,29.7,5.83,99.65
Punjab,Ludhiana,Maize,Kharif,12.13,Alluvial,0.252,0.891,783.6,20.0,1.03,59.42
Uttar Pradesh,Lucknow,Rice,Kharif,11.68,Loamy,0.252,0.451,160.1,36.6,4.12,31.5
Karnataka,Mysuru,Sugarcane,Rabi,9.07,Red,0.392,0.593,413.8,39.3,5.24,52.84
Uttar Pradesh,Lucknow,Sugarcane,Rabi,10.8,Loamy,0.278,0.508,241.6,37.4,3.38,32.61
Karnataka,Mysuru,Cotton,Rabi,9.26,Black,0.578,0.342,945.7,30.0,4.47,94.41
Karnataka,Belagavi,Rice,Kharif,9.68,Loamy,0.81,0.763,227.2,37.3,3.7,58.69
Punjab,Ludhiana,Maize,Kharif,13.65,Black,0.39,0.653,50.5,23.8,2.52,36.7
Karnataka,Mysuru,Wheat,Rabi,2.24,Alluvial,0.436,0.86,357.0,28.0,4.52,77.21
Haryana,Hisar,Rice,Rabi,4.08,Loamy,0.687,0.699,190.7,39.9,2.33,38.91
Karnataka,Belagavi,Cotton,Kharif,13.67,Red,0.368,0.301,515.0,39.6,2.21,34.0
Uttar Pradesh,Lucknow,Wheat,Kharif,11.06,Loamy,0.457,0.643,651.9,28.4,1.45,71.11
Uttar Pradesh,Kanpur,Cotton,Rabi,10.59,Red,0.801,0.428,259.2,32.8,5.05,67.34
Maharashtra,Pune,Rice,Kharif,10.52,Red,0.471,0.856,180.6,23.5,1.57,45.77
Maharashtra,Nagpur,Sugarcane,Rabi,12.35,Red,0.589,0.571,279.8,17.3,5.49,54.93
Punjab,Ludhiana,Maize,Kharif,5.56,Loamy,0.708,0.828,892.7,34.5,4.21,98.17
Maharashtra,Nagpur,Rice,Rabi,10.2,Black,0.606,0.461,943.1,39.3,2.42,69.39
Uttar Pradesh,Kanpur,Maize,Kharif,14.92,Loamy,0.323,0.213,519.2,19.5,2.83,39.74
Punjab,Amritsar,Maize,Kharif,1.86,Black,0.457,0.386,281.8,39.3,2.97,31.99
Karnataka,Belagavi,Wheat,Rabi,9.85,Alluvial,0.668,0.805,268.7,27.5,3.86,75.24
Maharashtra,Nagpur,Sugarcane,Kharif,7.31,Red,0.396,0.818,760.3,38.8,2.65,63.98
Maharashtra,Pune,Rice,Kharif,1.59,Black,0.414,0.334,305.1,27.1,2.86,50.59
Haryana,Karnal,Rice,Rabi,8.77,Alluvial,0.268,0.631,990.6,18.5,3.59,73.64
Punjab,Ludhiana,Sugarcane,Rabi,10.69,Black,0.452,0.406,818.9,35.3,5.34,79.02
Punjab,Amritsar,Cotton,Rabi,12.08,Black,0.655,0.691,806.0,37.3,2.69,75.35
Uttar Pradesh,Lucknow,Maize,Rabi,2.75,Alluvial,0.887,0.787,867.4,21.3,1.19,86.64
Punjab,Amritsar,Maize,Kharif,11.66,Loamy,0.351,0.636,131.1,16.3,3.66,29.64
Maharashtra,Nagpur,Rice,Kharif,14.65,Black,0.561,0.426,805.4,21.8,3.19,74.1
Karnataka,Belagavi,Wheat,Rabi,12.62,Alluvial,0.687,0.486,214.6,18.9,2.25,39.97
Karnataka,Mysuru,Maize,Kharif,14.35,Black,0.717,0.588,631.1,25.5,2.24,77.55
Punjab,Ludhiana,Rice,Rabi,2.18,Loamy,0.232,0.229,862.7,32.6,3.37,64.63
Karnataka,Mysuru,Cotton,Kharif,5.52,Black,0.525,0.655,95.7,38.7,5.43,45.28
Haryana,Karnal,Wheat,Rabi,7.8,Loamy,0.8,0.661,204.8,16.8,4.21,53.41
Uttar Pradesh,Kanpur,Maize,Kharif,8.84,Alluvial,0.472,0.65,485.3,28.6,5.71,84.38
Haryana,Karnal,Wheat,Rabi,3.34,Loamy,0.249,0.271,67.3,17.4,4.42,19.76
Karnataka,Belagavi,Maize,Kharif,10.38,Loamy,0.438,0.382,521.2,32.3,2.74,56.04
Maharashtra,Pune,Cotton,Rabi,12.15,Alluvial,0.397,0.324,763.1,35.2,5.95,75.5
Karnataka,Belagavi,Wheat,Rabi,6.72,Alluvial,0.726,0.728,148.0,37.6,3.53,49.46
Uttar Pradesh,Lucknow,Cotton,Kharif,6.14,Black,0.208,0.834,136.7,23.0,5.75,53.71
Karnataka,Mysuru,Sugarcane,Kharif,4.75,Black,0.43,0.671,764.8,34.8,4.95,81.22
Haryana,Karnal,Wheat,Rabi,14.94,Black,0.239,0.716,568.6,32.6,5.84,74.7
Maharashtra,Pune,Sugarcane,Kharif,1.97,Alluvial,0.259,0.691,119.1,35.5,4.53,39.94
Uttar Pradesh,Kanpur,Cotton,Kharif,5.93,Red,0.459,0.769,949.9,39.7,4.77,83.23
Karnataka,Belagavi,Cotton,Rabi,8.6,Black,0.497,0.834,155.6,27.3,1.06,49.93
Maharashtra,Nagpur,Cotton,Kharif,11.62,Alluvial,0.776,0.721,697.0,20.9,3.0,80.83
